transaction_id,transaction_date,store_id,customer_id,employee_id,department,product_sku,product_name,quantity,unit_price,line_total,discount_pct,payment_method,sales_channel,is_return,register_id
TXN-350822,2024-06-08,ST-002,CUST-80299,EMP-1327,Sports,SP-001,Yoga Mat,2,16.09,32.18,0.3,Credit Card,Online,N,
TXN-896029,20-Oct-2023,ST-003,CUST-71082,EMP-8792,Sports,SP-203,Water Bottle 32oz,5,16.99,84.95,,Debit Card,In-Store,N,REG-7
TXN-567481,2024-08-08,ST-010,CUST-33623,EMP-7077,Toys,TY-001,LEGO City Set,1,47.49,47.49,0.05,Mobile Pay,In-Store,N,REG-20
TXN-482944,31-Dec-2023,ST-002,CUST-60408,EMP-9013,Beauty,BE-304,Lip Balm 3pk,1,4.99,4.99,,Cash,Online,N,REG-6
  TXN-941088,21-Jun-2022,ST-010,CUST-11620,EMP-9246,Toys,TY-304,Board Game,1,29.99,29.99,,Credit Card,In-Store,N,REG-1
TXN-356449,04-28-2024,ST-003,CUST-48056,EMP-9378,Automotive,AU-203,Windshield Washer Fluid,5,3.74,18.7,0.25,Credit Card,In-Store,N,REG-17
TXN-477769,25-May-2023,ST-001,CUST-76379,EMP-8035,Electronics,EL-102,Bluetooth Headphones,5,55.99,279.95,0.3,Debit Card,In-Store,N,REG-14
TXN-393631,13-Oct-2023,ST-007,CUST-14548,,Electronics,EL-404,Laptop Stand,1,34.99,34.99,0.3,Debit Card,Online,N,REG-2
TXN-622930,2023-06-18,ST-004,CUST-85253,EMP-3683,Pharmacy,PH-102,Vitamin D 100ct,2,11.69,23.38,0.1,Debit Card,Curbside Pickup,N,REG-3
TXN-999310,2022-06-13,ST-010,CUST-50288,EMP-6163,Home & Garden,HG-607,Laundry Detergent,1,13.49,13.49,,Check,Online,N,REG-15
TXN-556997,27-Apr-2023,ST-001,CUST-14258,EMP-9844,Beauty,BE-102,Face Moisturizer,5,12.74,63.7,0.15,Credit Card,Curbside Pickup,N,REG-2
TXN-983855,08-05-2024,ST-002,CUST-49013,EMP-8454,Automotive,AU-001,Motor Oil 5qt,4,24.99,99.96,,Gift Card,In-Store,N,
TXN-948998,11-16-2024,ST-004,CUST-65604,,Electronics,EL-707,"Tablet 10""",1,280.49,280.49,0.15,Credit Card,In-Store,N,REG-3
TXN-898050,2024-02-17,ST-005,CUST-33594,EMP-6051,Toys,TY-203,Nerf Gun,1,19.99,19.99,0.2,Mobile Pay,In-Store,N,REG-20
TXN-741578,2023-04-10,ST-001,CUST-12830,EMP-9876,Furniture,FU-102,Bookshelf 5-Tier,5,71.99,359.95,0.2,Debit Card,In-Store,N,REG-7
TXN-347255,12-31-2022,ST-005,CUST-13069,EMP-4014,Automotive,AU-203,Windshield Washer Fluid,2,3.74,7.48,0.25,Mobile Pay,In-Store,N,REG-5
TXN-629018,01/21/2023,ST-012,CUST-50180,EMP-7653,Pharmacy,PH-102,Vitamin D 100ct,5,12.9900,64.95,,Mobile Pay,In-Store,N,
TXN-877787,01-Mar-2022,  ST-007,CUST-60255,,Automotive,AU-405,Jumper Cables,4,22.49,-89.96,0.25,Mobile Pay,In-Store,Y,
TXN-996653,07-26-2024,ST-002,CUST-91425,EMP-2344,Beauty,BE-506,Razor 4pk,4,11.99,47.96,,EBT,In-Store,N,REG-3
TXN-584863,04/15/2022,ST-010,CUST-52889,EMP-6060,Electronics,EL-303,USB-C Hub,4,24.49,97.96,0.3,Credit Card,Curbside Pickup,N,
TXN-826267,24-Mar-2024,ST-005,CUST-34056,EMP-1518,Automotive,AU-001,Motor Oil 5qt,4,19.99,79.96,0.2,Debit Card,In-Store,N,
TXN-295545,12/27/2022,ST-007,CUST-42260,EMP-7119,Grocery,GR-009,Frozen Pizza,2,7.99,15.98,,Debit Card,In-Store,N,REG-10
TXN-581903,11-24-2022,ST-008,CUST-26176,EMP-5626,Electronics,EL-707,"Tablet 10""",1,313.49,313.49,0.05,Credit Card,Curbside Pickup,N,REG-16
TXN-419190,03-06-2023,ST-006,CUST-19202,EMP-5723,Clothing,CL-304,Running Shoes,1,58.49,-58.49,0.1,Credit Card,In-Store,Y,REG-16
TXN-941924,22-Jul-2022,ST-003,CUST-58188,EMP-1906,Toys,TY-506,RC Car,3,29.9900,89.97,0.25,Credit Card,Online,N,REG-3
TXN-556068,2022-03-28,ST-008,CUST-19835,EMP-7655,Pharmacy,PH-203,Allergy Relief 30ct,2,12.74,25.48,0.15,Mobile Pay,Curbside Pickup,N,REG-15
TXN-796404,02-Apr-2022,ST-009,CUST-73715,EMP-8125,Furniture,FU-405,TV Stand,2,83.99,167.98,0.3,Debit Card,In-Store,N,REG-11
