transaction_id,transaction_date,customer_id,department,product_sku,product_name,quantity,unit_price,discount_pct,total_cost,payment_method,sales_channel,register_id
101047,12/30/2023,47786,Electronics,EL-102,"Bluetooth Headphones",2,79.99,,159.98,"Credit Card",In-Store,REG-12
101291,08/22/2023,83378,PHARMACY,PH-001,"Ibuprofen 200ct",5,9.99,,49.95,Cash,"Curbside Pickup",REG-19
101812,02-May-2022,60430,Furniture,FU-001,"Folding Chair",1,29.74,0.15,25.28,"Credit Card",In-Store,REG-6
102088,06-01-2023,80498,Toys,TY-203,"Nerf Gun",5,24.99,,124.95,EBT,In-Store,REG-14
102306,13-Mar-2023,62555,Electronics,EL-303,"USB-C Hub",3,34.99,,104.97,"Debit Card",Online,REG-12
102465,12/05/2022,78782,Toys,TY-304,"Board Game",5,20.99,0.3,73.46,EBT,In-Store,REG-14
102502,2022-11-03,,Pharmacy,PH-304,"Bandage Assortment",2,4.49,0.25,6.74,Cash,In-Store,REG-15
102533,09/20/2024,,Grocery,GR-007,"Pasta 1lb",1,1.34,0.25,1.01,"Credit Card",In-Store,REG-11
103055,2023-05-02,95915,Beauty,BE-203,Mascara,2,8.99,,17.98,"Debit Card",Online,REG-11
103292,27-Sep-2023,46193,Furniture,FU-203,"Desk Lamp",1,19.59,0.3,13.71,"Gift Card",Online,REG-16
103300,2024-07-13,19709,Electronics,EL-707,"Tablet 10""",3,230.99,0.3,485.08,"Debit Card",Online,REG-13
103496,2024-04-13,42392,Pharmacy,PH-405,"Hand Sanitizer 8oz",1,3.39,0.15,2.88,"Debit Card",In-Store,REG-6
103506,03-16-2024,91356,Furniture,FU-304,"Storage Ottoman",5,52.24,0.05,248.14,"Credit Card",In-Store,REG-18
103735,02-08-2022,,Grocery,GR-007,"Pasta 1lb",2,1.79,,3.58,"Credit Card",In-Store,REG-12
104478,08-27-2023,86184,Automotive,AU-203,"Windshield Washer Fluid",1,4.99,,4.99,Check,In-Store,REG-1
104488,2022-11-24,47751,Automotive,AU-203,"Windshield Washer Fluid",3,4.74,0.05,13.51,"Debit Card",Online,REG-12
104523,01-28-2024,10364,Automotive,AU-001,"Motor Oil 5qt",2,19.99,0.2,31.98,"Credit Card",Online,REG-16
104855,12-Sep-2024,48062,Furniture,FU-102,"Bookshelf 5-Tier",2,89.99,,179.98,"Debit Card",In-Store,REG-6
105337,09/10/2022,42955,Electronics,EL-303,"USB-C Hub",2,34.99,,69.98,"Credit Card",Online,REG-13
105411,09-01-2022,73284,Toys,TY-506,"RC Car",1,33.99,0.15,28.89,"Debit Card",Online,REG-15
105767,02/12/2022,15863,Grocery,GR-002,"White Bread",3,2.09,0.3,4.39,"Gift Card",In-Store,REG-20
105891,13-May-2024,64264,Electronics,TV-001,"4K Smart TV 55""",1,499.99,,499.99,"Debit Card","Curbside Pickup",REG-19
105898,2024-11-18,,Electronics,EL-606,"Smart Speaker",3,89.99,,269.97,"Credit Card",In-Store,REG-7
105910,2023-04-10,73703,Sports,SP-203,"Water Bottle 32oz",3,11.89,0.3,24.97,"Debit Card",In-Store,REG-16
105960,02/16/2024,70702,"Home & Garden",HG-203,"Scented Candle",1,9.09,0.3,6.36,Cash,In-Store,REG-15
106029,10-16-2024,96438,Toys,TY-001,"LEGO City Set",2,37.49,0.25,56.24,"Credit Card",In-Store,REG-10
106047,11-Nov-2022,81600,Grocery,GR-006,"Greek Yogurt 32oz",1,4.72,,4.72,Cash,In-Store,REG-7
106263,12/07/2022,95178,Grocery,GR-008,"Canned Tomatoes",5,0.9,0.3,3.15,"Mobile Pay",In-Store,REG-14
106543,10/05/2023,88674,Automotive,AU-203,"Windshield Washer Fluid",1,3.99,0.2,3.19,"Debit Card",In-Store,REG-9
106587,10-29-2024,94688,Clothing,CL-506,"Yoga Pants",4,27.99,,111.96,"Credit Card",In-Store,REG-1
106747,10/30/2023,22687,Automotive,AU-001,"Motor Oil 5qt",2,19.99,0.2,31.98,Cash,Online,REG-20
